satisfaction_level;last_evaluation;number_project;average_monthly_hours;tenure;work_accident;promotion_last_5years;salary;department;left;workload_segment;high_performer_unsatisfied;critical_tenure;overdue_promotion;risk_score;leaving_probability;attrition_risk;risk_reasons
0,43;0,56;2;157;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969043982038862;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,43;0,54;2;153;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969043982038862;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,39;0,48;2;138;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968937427288879;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,47;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968937427288879;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,55;2;151;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968933195586283;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,57;2;158;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968885182881868;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,42;0,52;2;134;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968854936204042;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,56;2;136;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968784282081298;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,54;2;130;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968784282081298;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,55;2;129;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968784282081298;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,56;2;129;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968784282081298;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,55;2;136;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968784282081298;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,5;2;151;3;0;0;low;sales;0;Underutilized;0;1;0;3;0,9968783353627713;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,55;2;155;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968779234404492;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,41;0,52;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968740636775005;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,44;0,53;2;156;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968695697463241;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,4;0,49;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968568602367011;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,49;2;128;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968568602367011;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,51;2;128;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996852014069369;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,56;2;133;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968505482784711;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,46;2;155;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968413648433113;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,41;0,54;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968391183355675;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,5;2;153;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968386741925633;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,38;0,53;2;156;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968319508573309;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,38;0,53;2;157;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968319508573309;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,4;0,5;2;130;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996825539305932;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,5;2;128;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996825539305932;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,46;2;156;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968230300413993;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,37;0,46;2;153;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9968230300413993;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,43;0,48;2;144;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968194777982642;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,46;2;145;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968194777982642;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,36;0,46;2;132;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968175540277864;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,51;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9968005385345006;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,46;2;146;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967930030348272;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,44;0,53;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967921242156992;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,47;2;145;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967915978686055;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,48;2;143;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967915978686055;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,46;2;147;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967915978686055;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,53;2;131;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967876460596622;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,54;2;127;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967855356524757;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,53;2;142;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967821838826251;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,48;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967801679257019;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,55;2;151;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967613889942035;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,53;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996754505326706;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,52;2;157;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9967497683069202;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,37;0,49;2;151;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967479609842996;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,52;2;147;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967462160637851;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,56;2;154;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9967331577668992;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,38;0,57;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967327248762288;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,44;0,5;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967183925213751;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,53;2;146;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967171712566296;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,36;0,56;2;137;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9967093469513741;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,51;2;155;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9966884088262263;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,44;0,48;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966858562502702;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,51;2;141;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966848565830912;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,55;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966833907921934;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,56;2;149;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966833907921934;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,36;0,51;2;130;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966829328126134;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,49;2;147;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966768676412979;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,44;0,53;2;149;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966764422642898;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,55;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966719608492898;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,51;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966583818196543;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,47;2;149;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966299025593649;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,5;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966292980975134;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,49;2;142;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966232849582062;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,54;2;149;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966183781661979;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,55;2;146;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9966183781661979;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,57;2;147;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965987081229073;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,52;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9965908426441838;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,44;0,49;2;145;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965825559658663;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,44;0,56;2;141;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996577649173858;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,52;2;145;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996574975626798;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,45;0,47;2;150;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965732176958935;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,55;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,996568732411376;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,44;0,53;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9965603787172508;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,37;0,52;2;141;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965566408248858;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,45;0,46;2;155;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9965449864685891;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,38;0,54;2;143;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965400302848648;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,38;0,55;2;147;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965400302848648;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,49;2;148;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996526602274961;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,45;0,46;2;128;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965190164728327;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,36;0,51;2;144;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965157753263356;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,48;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9965138390123259;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,45;0,57;2;158;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9965137920321315;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,38;0,51;2;141;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9965136161461041;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,47;2;151;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9965018938177596;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,37;0,5;2;142;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996495281344192;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,37;0,5;2;141;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,996495281344192;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,48;2;137;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,996494344491518;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,4;0,47;2;128;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,996494344491518;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,45;0,57;2;134;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9964878220363751;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,45;0,57;2;136;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9964878220363751;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,45;0,54;2;152;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9964650106194813;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,43;0,48;2;135;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9964630141091841;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,39;0,55;2;152;3;1;0;medium;sales;1;Balanced;0;1;0;1;0,9964561056871947;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,42;0,46;2;150;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9964426835057671;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,43;0,46;2;157;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,9964423322081214;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,43;0,48;2;157;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,9964423322081214;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,37;0,52;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9964405772778469;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,4;0,52;2;136;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9964210827570389;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,39;0,53;2;131;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9964202118370368;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,39;0,53;2;127;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9964202118370368;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,45;0,54;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9964108093964203;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,09;0,85;7;307;4;0;0;low;management;1;Overworked;1;1;0;4;0,9964105694137281;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Overworked | Too Many Projects (>5) | High Performer but Unsatisfied | Low Salary
0,44;0,46;2;157;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,9964073283617987;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,39;0,53;2;153;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,996399529935974;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,4;0,49;2;151;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9963985935333555;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,38;0,51;2;159;3;0;0;low;sales;1;Balanced;0;1;0;2;0,996397552599065;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,43;0,53;2;152;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,9963973017009466;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,43;0,53;2;136;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9963897523747051;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,42;0,52;2;151;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9963694217712881;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,43;0,52;2;158;3;0;0;medium;sales;1;Balanced;0;1;0;1;0,9963690704736423;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,43;0,48;2;157;3;0;0;low;support;1;Balanced;0;1;0;2;0,9963659051206978;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,42;0,53;2;132;3;1;0;low;sales;1;Underutilized;0;1;0;3;0,9963603873989466;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,5;2;135;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,996359723276345;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,43;0,49;2;135;3;0;0;medium;sales;1;Underutilized;0;1;0;2;0,9963597138247802;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
